Ticker,Company_name,Market_Cap,Stock_price,Volume,Industry_CSV,Sector_CSV,Revenue,Revenue_Growth,Net_Income,Free_Cash_Flow,Full_Company_Name,ISIN_Code,Registered_Office,Telephone,Email,Taxpayer_Number,Website,Main_Business_Fields,Sector_JSON,Subsector,Industry_JSON,Sub_Industry,Securities_Administration_Bureau,Recording_Date,Recording_Board,Data_Merge_Success,Data_Source,Fax
DEPO,PT Caturkarda Depo Bangunan Tbk,1.83T,270.00,"504,6",Home Improvement,Consumer Discretionary,2.90T,6.22%,88.88B,74.25B,PT Caturkarda Depo Bangunan Tbk,DEPO,"Jl. Raya Serpong KM2, Kel. Pakulonan, Kec. Serpong Utara, Tangerang Selatan",021–53120808,corp.secretary@depobangunan.co.id,01.756.274.5-415.000,www.depobangunan.co.id,"Supermarket dan/atau Retail Bahan Bangunan PT Megadepo Indonesia Supermarket dan/atau Retail Bahan Bangunan 765 99,99 %","Barang Konsumen Non-Primer PT Megadepo Indonesia Supermarket dan/atau Retail Bahan Bangunan 761 99,99 %","Perdagangan Ritel PT Megadepo Indonesia Supermarket dan/atau Retail Bahan Bangunan 786 99,99 %",Ritel Khusus,Ritel Barang Rumah Tangga,PT. Bima Registra,"2021-11-25 Nama Jenis Aset Total Persentase PT Megadepo Indonesia Supermarket dan/atau Retail Bahan Bangunan 403 91,81 %","Pengembangan PT Megadepo Indonesia Supermarket dan/atau Retail Bahan Bangunan 793 99,99 %",True,CSV+JSON,021–53120707
SSMS,PT Sawit Sumbermas Sarana Tbk.,15.29T,"1,610.00","8,072,900",Farm Products,Consumer Staples,14.16T,32.38%,1.21T,655.97B,PT Sawit Sumbermas Sarana Tbk.,SSMS,"Equity Tower, 43 F Suite 43 D Jl. Jend. Sudirman Kav.52-53 SCBD Lot 9 Jakarta 12190",(021) 2903 5401,corporate@ssms.co.id,01.580.402.4-054.000,www.ssms.co.id,"Menjalankan usaha dalam bidang pertanian, perdagangan dan industri PT Mitra Mendawai Sejati Perkebunan dan pabrik kelapa sawit 3.291.770 99 %",Barang Konsumen Primer Sawit Sumbermas International Pte. Ltd Penjualan produk kelapa sawit 15 100 %,Makanan & Minuman SSMS Plantation Holding Pte. Ltd Jasa pendukung bisnis 349.910 100 %,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,PT. Datindo Entrycom,"2013-12-12 Nama Jenis Aset Total Persentase PT Citra Borneo Utama Tbk Industri dan Perdagangan 4.327.015 70,20 %",Utama PT Kalimantan Sawit Abadi Perkebunan dan pabrik kelapa sawit 5.190.006 99 %,True,CSV+JSON,(021) 2903 5405
KEEN,PT Kencana Energi Lestari Tbk,3.63T,995.00,"6,479,700",Utilities - Independent Power Producers,Utilities,547.20B,-26.11%,55.94B,162.20B,PT Kencana Energi Lestari Tbk.,KEEN,"Kencana Tower Lantai 11, Kebon Jeruk Business Park, Jl. Raya Meruya Ilir No.88, Jakarta Barat 11620, Indonesia",+62.21.5890.0791,corporate.secretary@kencanaenergy.com,02.750.932.2-086.000,www.kencanaenergy.com,"Menjalankan usaha jasa dan ketenagalistrikan melalui anak perusahaan PT Bangun Tirta Lestari Pemasokan kelistrikan 130.684.090 98,40 %",Infrastruktur PT Celebes Energi Lestari Pemasokan kelistrikan 136.122 75 %,Utilitas PT Citra Energi Borneo Pemasokan kelistrikan 136.122 75 %,Utilitas Listrik PT Energi Angin Indonesia Pemasokan kelistrikan 602.189 51 %,Utilitas Listrik PT Energi Angin Mandiri Pemasokan kelistrikan 181.792 51 %,PT. Sinartama Gunita PT Energy Sakti Sentosa Pemasokan kelistrikan 107.191.373 75 %,"2019-09-02 Nama Jenis Aset Total Persentase PT Alam Energi Pratama Pemasokan kelistrikan 18.562 99,97 %",Utama PT Bangun Hidro Energi Entitas Induk 4.426.618 98 %,True,CSV+JSON,+62.21.386.7686
OMED,PT Jayamas Medica Industri Tbk,5.41T,200.00,"2,957,400",Medical Instruments & Supplies,Healthcare,1.99T,8.51%,364.96B,260.24B,PT Jayamas Medica Industri Tbk,OMED,"Sebelah Selatan Jalan By Pass RT 05 / RW 01 Kelurahan Sidomojo, Kecamatan Krian, Sidoarjo 61262, Jawa Timur",+62 31 8982349,corporate.secretary@onemed.co.id,02.026.276.2-641.000,www.onemed.co.id,"Bergerak di bidang usaha manufaktur alat kesehatan, alat kesehatan elektromedik, alat diagnostik, antiseptik dan disinfektan, dan perbekalan kesehatan rumah tangga lainnya. PT Jayamas Wellong Medical Industri dan perdagangan alat-alat kesehatan dan bahan medis habis pakai 9.598.959.037 51 %",Kesehatan,Jasa & Peralatan Kesehatan,Peralatan & Perlengkapan Kesehatan,Penyedia & Distribusi Perlengkapan Kesehatan,PT. Datindo Entrycom,2022-11-08 Nama Jenis Aset Total Persentase PT Inti Medicom Retailindo Perdagangan eceran alat kesehatan 96.928.477.658 75 %,"Utama PT Intisumber Hasil Sempurna Global Perdagangan besar alat laboratorium, farmasi dan kedokteran, pergudangan dan penyimpanan, aktivitas pengepakan. 1.230.522.567.074 99 %",True,CSV+JSON,
PGUN,PT Pradiksi Gunatama Tbk,76.31T,"13,250.0","97,9",Farm Products,Consumer Staples,888.57B,38.52%,162.14B,210.58B,PT Pradiksi Gunatama Tbk,PGUN,"Jl. Negara Km. 44, Kecamatan Batu Engau, Kabupaten Paser, Provinsi Kalimantan Timur",(0518) 2090000,corsec@pradiksi.co.id,01.770.368.7-057.000,www.pradiksi.co.id,Perkebunan dan Pengolahan Kelapa Sawit Terpadu,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,PT. Adimitra Jasa Korpora,2020-07-07 Nama Jenis Aset Total Persentase,Pengembangan,True,CSV+JSON,(0518) 2090000
FILM,PT.MD Entertainment Tbk,57.16T,"5,800.00","7,392,600",Entertainment,Communication Services,514.30B,21.29%,-135.62B,-326.64B,PT MD Entertainment Tbk,FILM,"MD Place, Tower 1, 9th Floor Jl. Setiabudi Selatan No. 7, Jakarta 12910",(62-21) 29855777,corporatesecretary@mdentertainment.com,02.250.161.3-018.000,www.mdentertainment.com/pictures/,"Studio Perfilman PT Barakuda Film Galeri Indonesia Jasa Persewaan Peralatan shooting 3.192.488.700 99,99 %","Barang Konsumen Non-Primer PT Barakuda Film Galeri Indonesia Jasa Persewaan Peralatan shooting 2.519.660.802 99,99 %","Media & Hiburan PT Barakuda Film Galeri Indonesia Jasa Persewaan Peralatan shooting 2.196.448.488 99,99 %","Hiburan & Film PT Jakarta Film Studio Jasa Persewaan Gedung dan/atau Property, Bidang Jasa Persewaan Mesin dan Peralatan Film, Bidang Perdagangan Film 210.757.610.765 99,99 %","Hiburan & Film PT Jakarta Film Studio Jasa Persewaan Gedung dan/atau Property, Bidang Jasa Persewaan Mesin dan Peralatan Film, Bidang Perdagangan Film 210.792.889.913 99,99 %","PT. Adimitra Jasa Korpora PT Jakarta Film Studio Jasa Persewaan Gedung dan/atau Property, Bidang Jasa Persewaan Mesin dan Peralatan Film, Bidang Perdagangan Film 211.156.750.764 99,99 %","2018-08-07 Nama Jenis Aset Total Persentase PT Barakuda Film Galeri Indonesia Jasa Persewaan Peralatan shooting 8.528.825.745 99,99 %","Utama PT Barakuda Film Galeri Indonesia Jasa Persewaan Peralatan shooting 4.890.650.492 99,99 %",True,CSV+JSON,(62-21) 29055777
MGLV,PT Panca Anugrah Wisesa Tbk,1.24T,715.00,"2,294,100","Furnishings, Fixtures & Appliances",Consumer Discretionary,171.01B,-32.40%,-942.17M,-25.17B,PT Panca Anugrah Wisesa Tbk,MGLV,"Magran Living, Jalan Kemang Raya No 17, RT 10 RW 05 Kel Bangka, Kec Mampang Prapatan, Jakarta Selatan , 12730",+62 21 7180349,corsec@pancaanugrahwisesa.com,03.244.224.6-072.000,"www.pancaanugrahwisesa.com, www.magranliving.com",Perdagangan besar peralatan dan perlengkapan rumah tangga PT Indah Kreasi Sentosa Perdagangan eceran furniture 13.894.920.675 99 %,Barang Konsumen Non-Primer PT Triguna Alam Semesta Perdagangan eceran furniture 2.674.512.888 99 %,Barang Rumah Tangga PT Triguna Alam Semesta Perdagangan eceran furniture 2.674.512.888 99 %,Barang Rumah Tangga PT Triguna Alam Semesta Perdagangan eceran furniture 979.745.000 99 %,Produsen Furnitur Rumah PT Triguna Anugrah Semesta Perdagangan eceran furniture 979.745.000 99 %,PT. Bima Registra PT Triguna Anugrah Semesta Perdagangan eceran furniture 28.943.062.731 99 %,2021-06-08 Nama Jenis Aset Total Persentase PT Indah Kreasi Sentosa Perdagangan eceran furniture 249.690.000 99 %,Akselerasi PT Indah Kreasi Sentosa Perdagangan eceran furniture 13.894.920.675 99 %,True,CSV+JSON,+62 21 7181325
EDGE,PT Indointernet Tbk.,8.71T,"4,310.00","31,3",Information Technology Services,Technology,842.16B,-17.57%,137.51B,-601.65B,PT Indointernet Tbk.,EDGE,"Jl. Rempoa Raya No. 11 Rempoa, Ciputat Timur, Tangerang Selatan 15412",(021) 7388 2525,corporate.secretary@indonet.id,01.673.865.0-058.000,www.indonet.co.id,"Internet service provider, telekomunikasi dengan kabel, holding, hosting, konsultasi komputer dan manajemen fasilitas komputer lainnya PT Wiratapura Indo Parahyangan Jasa aktivitas teknologi informasi dan jasa konsultasi komputer lainnya 9.592 60 %",Teknologi,Perangkat Lunak & Jasa TI,Aplikasi & Jasa Internet,Jasa & Konsultan TI,PT. Adimitra Jasa Korpora,"2021-02-08 Nama Jenis Aset Total Persentase PT Ekagrata Data Gemilang Aktivitas hosting (penyimpanan data di server) dan yang berhubungan dengan hal tersebut 3.107.635 99,83 %","Pengembangan PT Net Soft Perdagangan, informasi dan komunikasi serta jasa 6.521 99,52 %",True,CSV+JSON,(021) 7388 2626
BOGA,PT Bintang Oto Global Tbk,1.86T,490.00,"2,521,800",Auto & Truck Dealerships,Consumer Discretionary,474.23B,-36.59%,-27.14B,-130.45B,PT Bintang Oto Global Tbk,BOGA,"Jl. S. Supriadi No. 19 - 22 Sukun, Malang",0341-363499,cs@bintangotoglobal.com,03.185.108.2-012.000,www.bintangotoglobal.com,"Perdagangan dan melakukan investasi pada entitas anak yang bergerak pada bidang perdagangan kendaraan, suku cadang, jasa perawatan dan perbaikan kendaraan serta penyewaan kendaraan PT Bintang Artha Global Pembangunan, perdagangan, perindustrian, pertambangan, pengangkutan darat, pertanian, percetakan, dan jasa kecuali jasa di bidang hukum dan pajak 64.361.646.176 99,97 %","Barang Konsumen Non-Primer PT Bintang Artha Global Pembangunan, perdagangan, perindustrian, pertambangan, pengangkutan darat, pertanian, percetakan, dan jasa kecuali jasa di bidang hukum dan pajak 64.361.646.176 99,97 %","Perdagangan Ritel PT Bintang Artha Global Pembangunan, perdagangan, perindustrian, pertambangan, pengangkutan darat, pertanian, percetakan, dan jasa kecuali jasa di bidang hukum dan pajak 58.623.608.111 99,97 %","Ritel Khusus PT Bintang Artha Guna Pembangunan, perdagangan, perindustrian, pertambangan, pengangkutan darat, pertanian, percetakan, dan jasa kecuali jasa di bidang hukum dan pajak 172.842.099.325 99,80 %","Ritel Otomotif PT Bintang Artha Guna Pembangunan, perdagangan, perindustrian, pertambangan, pengangkutan darat, pertanian, percetakan, dan jasa kecuali jasa di bidang hukum dan pajak 172.842.099.325 99,80 %","PT. Sharestar Indonesia PT Bintang Artha Guna Pembangunan, perdagangan, perindustrian, pertambangan, pengangkutan darat, pertanian, percetakan, dan jasa kecuali jasa di bidang hukum dan pajak 172.842.099.325 99,80 %","2016-12-19 Nama Jenis Aset Total Persentase PT Bintang Artha Global Pembangunan, perdagangan, perindustrian, pertambangan, pengangkutan darat, pertanian, percetakan, dan jasa kecuali jasa di bidang hukum dan pajak 58.192.842.084 99,97 %","Pengembangan PT Bintang Artha Global Pembangunan, perdagangan, perindustrian, pertambangan, pengangkutan darat, pertanian, percetakan, dan jasa kecuali jasa di bidang hukum dan pajak 62.775.312.045 99,97 %",True,CSV+JSON,0341-299051
LIVE,PT Homeco Victoria Makmur Tbk,918.60B,204.00,"14,264,500","Furnishings, Fixtures & Appliances",Consumer Discretionary,281.88B,-4.75%,16.10B,-60.50B,PT Homeco Victoria Makmur Tbk,LIVE,"Jl. Kebon Jeruk Raya No. 1A-C, Kel. Kebon Jeruk Kec. Kebon Jeruk, Kota Adm. Jakarta Barat Provinsi DKI Jakarta, 11530, Indonesia",(021) 53661718,corpsec@homeco-living.com,03.101.643.9-035.000,https://www.homeco.co.id/,"Perdagangan besar alat tulis dan gambar, perdagangan besar alat permainan dan mainan anak-anak, perdagangan besar peralatan dan perlengkapan rumah tangga, perdagangan besar tekstil serta perusahaan holding PT Trisinar Indopratama Industri Barang dari Plastik untuk Pengemasan, Industri Mainan Anak-anak, Industri Barang Plastik Lainnya Ytdl, Industri Perlengkapan dan Peralatan Rumah Tangga (Tidak Termasuk Furnitur) 183.050.810.482 99,72 %","Barang Konsumen Non-Primer PT Trisinar Indopratama Industri Barang dari Plastik untuk Pengemasan, Industri Mainan Anak-anak, Industri Barang Plastik Lainnya Ytdl, Industri Perlengkapan dan Peralatan Rumah Tangga (Tidak Termasuk Furnitur) 183.050.810.482 99,72 %","Barang Rumah Tangga PT Trisinar Indopratama Industri Barang dari Plastik untuk Pengemasan, Industri Mainan Anak-anak, Industri Barang Plastik Lainnya Ytdl, Industri Perlengkapan dan Peralatan Rumah Tangga (Tidak Termasuk Furnitur) 183.050.810.482 99,72 %",Barang Rumah Tangga,Perlengkapan Rumah Tangga,PT. Sinartama Gunita,"2024-02-12 Nama Jenis Aset Total Persentase PT Trisinar Indopratama Industri Barang dari Plastik untuk Pengemasan, Industri Mainan Anak-anak, Industri Barang Plastik Lainnya Ytdl, Industri Perlengkapan dan Peralatan Rumah Tangga (Tidak Termasuk Furnitur) 183.050.810.482 99,72 %","Pengembangan PT Trisinar Indopratama Industri Barang dari Plastik untuk Pengemasan, Industri Mainan Anak-anak, Industri Barang Plastik Lainnya Ytdl, Industri Perlengkapan dan Peralatan Rumah Tangga (Tidak Termasuk Furnitur) 183.050.810.482 99,72 %",True,CSV+JSON,(021) 53661719
SUNI,PT Sunindo Pratama Tbk,1.93T,800.00,319,Oil & Gas Equipment & Services,Energy,961.79B,-11.43%,184.54B,-70.96B,PT Sunindo Pratama Tbk,SUNI,"Jl. Prof Dr. Soepomo SH. No. 48, Tebet Jakarta Selatan 12870, Indonesia",021 8378 5773,corsec@sunindogroup.com,02.115.896.9-056.000,www.sunindogroup.com,"Perdagangan besar mesin,peralatan dan perlengkapan lainnya, perdagangan besar atas dasar balas jasa (fee) atau kontrak, perdagangan besar barang logam untuk bahan konstruksi, penyewaan dan sewa guna tanpa hak opsi mesin pertambangan dan energi serta peralatannya, dan aktivitas konsultasi manajemen lainnya PT Petro Synergy Manufacturing Manufacture 19.910 60 %",Energi PT Rainbow Tubulars Manufacture Manufaktur 231.662 60 %,"Minyak, Gas & Batu Bara PT Rainbow Tubulars Manufacture Manufacture 556.852 99,96 %","Pendukung Minyak, Gas & Batu Bara PT Rainbow Tubulars Manufacture Industri Pipa dan sambungan pipa dari baja dan besi 340 99,96 %","Jasa & Perlengkapan Minyak, Gas & Batu Bara PT Rainbow Tubulars Manufacture Manufacture 524.062 99,96 %",PT. Adimitra Jasa Korpora PT. Petro Synergy Manufacturing Manufacture 18.820 60 %,"2023-01-09 Nama Jenis Aset Total Persentase PT Petro Sinergy Manufacturing Perdagangan Besar Mesin, Peralatan Dan Perlengkapan Lainnya 22.727 60 %",Utama PT Petro Synergy Manufacturing Manufacture 20.779 60 %,True,CSV+JSON,021 8378 5776
BLES,PT Superior Prima Sukses Tbk,1.43T,161.00,"4,590,400",Building Materials,Materials,1.50T,5.69%,83.50B,-165.49B,PT Superior Prima Sukses Tbk,BLES,"Jl. Raya Kupang Baru no. 27 Dukuh Kupang, Dukuh Pakis, Surabaya, Jawa Timur 60225",+62 31 7312477,corsec@superior.co.id,31.411.366.3-616.000,superiorprimasukses.com,Industri Bata Ringan dan Semen Mortar,Barang Baku,Barang Baku,Material Konstruksi,Material Konstruksi,PT. Adimitra Jasa Korpora,2024-07-08 Nama Jenis Aset Total Persentase PT Superior Persada Sejahtera Pengangkutan 102.537 99 %,"Pengembangan PT Superior Sarana Sukses Pengangkutan 25.532 99,90 %",True,CSV+JSON,
